DaysSinceHalving,Price 2016 (USD),Price 2020 (USD),Price 2024 (USD),Log Scale
218,999.1810302734376,19417.076171875,,
219,990.6420288085938,21310.59765625,,
220,1004.5499877929688,22805.162109375,,
221,1007.47998046875,23137.9609375,,
222,1027.43994140625,23869.83203125,,
223,1046.2099609375,23477.294921875,,
224,1054.4200439453125,22803.08203125,,
225,1047.8699951171875,23783.029296875,,
226,1079.97998046875,23241.345703125,,
227,1115.300048828125,23735.94921875,,
228,1117.43994140625,24664.791015625,,
229,1166.719970703125,26437.037109375,,
230,1173.6800537109375,26272.294921875,,
231,1143.8399658203125,27084.80859375,,
232,1165.199951171875,27362.4375,,
233,1179.969970703125,28840.953125,,
234,1179.969970703125,29001.720703125,,
235,1222.5,29374.15234375,,
236,1251.010009765625,32127.267578125,,
237,1274.989990234375,32782.0234375,,
238,1255.1500244140625,31971.9140625,,
239,1267.1199951171875,33992.4296875,,
240,1272.8299560546875,36824.36328125,,
241,1223.5400390625,39371.04296875,,
242,1150.0,40797.609375,,
243,1188.489990234375,40254.546875,,
244,1116.719970703125,38356.44140625,,
245,1175.8299560546875,35566.65625,,
246,1221.3800048828125,33922.9609375,,
247,1231.9200439453125,37316.359375,,
248,1240.0,39187.328125,,
249,1249.6099853515625,36825.3671875,,
250,1187.81005859375,36178.140625,,
251,1100.22998046875,35791.27734375,,
252,973.8179931640624,36630.07421875,,
253,1036.739990234375,36069.8046875,,
254,1054.22998046875,35547.75,,
255,1120.5400390625,30825.69921875,,
256,1049.1400146484375,33005.76171875,,
257,1038.5899658203125,32067.642578125,,
258,937.52001953125,32289.37890625,,
259,972.7789916992188,32366.392578125,,
260,966.7249755859376,32569.849609375,,
261,1045.77001953125,30432.546875,,
262,1047.1500244140625,33466.09765625,,
263,1039.969970703125,34316.38671875,,
264,1026.4300537109375,34269.5234375,,
265,1071.7900390625,33114.359375,,
266,1080.5,33537.17578125,,
267,1102.1700439453125,35510.2890625,,
268,1143.81005859375,37472.08984375,,
269,1133.25,36926.06640625,,
